Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,CTR,Conv_Rate,Spend,ROAS,Non_Conversions
NY-CMP-1000,Social Media,College Students,21,"WhatsApp, YouTube",57804,6156,3616,2355,1867515,111.03,6.14,Hindi,20.98,College Students,2025-04-29,0.10649782022005398,0.38255360623781676,261475.65,7.142213816085743,3801
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18,YouTube,91801,3321,1971,1357,1046247,180.83,3.26,Hindi,7.24,College Students,2025-04-06,0.03617607651332774,0.40861186389641674,245386.31000000003,4.2636730630979365,1964
NY-CMP-1002,Influencer,Youth,23,"WhatsApp, Google, YouTube",15536,2182,952,755,197055,90.6,1.88,English,25.03,College Students,2025-01-14,0.14044799176107106,0.346012832263978,68403.0,2.880794701986755,1427
NY-CMP-1003,Email,Working Women,18,"YouTube, Facebook, Instagram",88114,8413,2231,947,376906,249.07,0.6,Hindi,13.15,College Students,2025-06-04,0.09547858456090973,0.11256388921906574,235869.28999999998,1.5979443529931345,7466
NY-CMP-1004,Paid Ads,College Students,10,"Facebook, Instagram",96871,3743,2060,1258,518296,228.6,0.8,Hindi,7.29,Tier 2 City Customers,2024-12-29,0.038639014772222854,0.3360940422121293,287578.8,1.8022747156605425,2485
NY-CMP-1005,Influencer,Youth,26,"Email, Instagram",83919,7497,2061,1555,877020,137.79,3.09,Hindi,13.24,Premium Shoppers,2024-09-23,0.08933614556894148,0.20741629985327464,214263.44999999998,4.093185281950795,5942
NY-CMP-1006,Paid Ads,College Students,21,"YouTube, Google, WhatsApp",82267,5534,1873,1386,633402,210.17,1.17,Tamil,10.69,Youth,2024-09-01,0.06726877119622691,0.25045175280086734,291295.62,2.1744302231526857,4148
NY-CMP-1007,Social Media,Working Women,6,"Instagram, WhatsApp, Google",32482,2665,1488,925,326525,147.29,1.4,Hindi,15.63,Tier 2 City Customers,2025-05-31,0.08204544055169016,0.34709193245778613,136243.25,2.3966324937198724,1740
NY-CMP-1008,Influencer,Premium Shoppers,27,"Facebook, WhatsApp, Email",73813,8680,5031,2551,1058665,87.74,3.73,Hindi,22.03,Tier 2 City Customers,2025-03-24,0.11759446168019183,0.29389400921658987,223824.74,4.729883747435605,6129
NY-CMP-1009,Social Media,College Students,11,Email,88895,6284,1600,858,603174,269.82,1.61,Hindi,9.83,Youth,2025-04-29,0.07069014005287136,0.13653723742838955,231505.56,2.6054406641464682,5426
NY-CMP-1010,SEO,Working Women,5,"Google, Instagram",59141,1556,580,221,121550,357.66,0.54,Hindi,3.99,Working Women,2024-10-26,0.02631000490353562,0.14203084832904883,79042.86,1.537773304255438,1335
NY-CMP-1011,SEO,Youth,7,"Facebook, YouTube",39696,5623,1136,661,286874,163.52,1.65,Hindi,18.69,Premium Shoppers,2024-12-21,0.1416515517936316,0.11755290770051574,108086.72,2.654109589041096,4962
NY-CMP-1012,Email,Youth,29,"Email, Instagram, Facebook",20080,570,258,183,128466,462.62,0.52,Bengali,5.03,Working Women,2024-09-30,0.02838645418326693,0.32105263157894737,84659.46,1.5174441226060265,387
NY-CMP-1013,SEO,Youth,14,Email,96303,3749,1785,940,441800,282.05,0.67,Tamil,6.72,Premium Shoppers,2024-10-29,0.038929213004786974,0.25073352894105094,265127.0,1.666371210778231,2809
NY-CMP-1014,Paid Ads,Premium Shoppers,5,Instagram,38072,2591,1542,769,240697,369.75,-0.15,Bengali,12.88,College Students,2024-07-06,0.06805526371086362,0.29679660362794286,284337.75,0.8465179175118324,1822
NY-CMP-1015,Paid Ads,Working Women,23,"Facebook, Instagram, Email",28714,1511,441,158,33654,1648.61,-0.87,Hindi,7.35,Premium Shoppers,2024-10-06,0.05262241415337466,0.10456651224354732,260480.37999999998,0.12919975009250217,1353
NY-CMP-1016,SEO,College Students,27,WhatsApp,73474,4886,2344,1055,263750,272.28,-0.08,English,11.28,College Students,2024-12-18,0.06649971418460952,0.21592304543593943,287255.39999999997,0.9181724695166741,3831
NY-CMP-1017,Paid Ads,Premium Shoppers,28,"Google, YouTube, Instagram",57060,1659,928,346,187186,448.86,0.21,Hindi,5.14,Premium Shoppers,2025-04-19,0.02907465825446898,0.20855937311633513,155305.56,1.2052755870427305,1313
NY-CMP-1018,SEO,Tier 2 City Customers,7,WhatsApp,49784,1510,594,440,261800,115.42,4.16,Tamil,5.11,Working Women,2025-01-18,0.030331030049815202,0.2913907284768212,50784.8,5.155085773696066,1070
NY-CMP-1019,Paid Ads,College Students,21,Instagram,55317,7847,1736,1079,715377,174.65,2.8,English,19.27,Tier 2 City Customers,2025-02-16,0.14185512591066038,0.13750477889639354,188447.35,3.7961637560835957,6768
NY-CMP-1020,Paid Ads,Premium Shoppers,27,"Google, YouTube",10678,1217,524,163,111981,1124.19,-0.39,Bengali,17.83,Youth,2024-08-27,0.11397265405506649,0.13393590797041907,183242.97,0.611106663464361,1054
NY-CMP-1021,SEO,Working Women,22,"Instagram, YouTube, Google",27990,3508,761,385,155540,516.25,-0.22,Hindi,16.63,Youth,2025-01-30,0.12533047516970347,0.10974914481185861,198756.25,0.7825665859564165,3123
