evaluation_id,category,score,model_version,date
1,reasoning,17.18,claude-3-opus,2026-01-10
2,reasoning,53.62,claude-3-opus,2026-01-10
3,reasoning,27.9,gpt-4-turbo,2026-01-10
4,reasoning,30.55,gpt-3.5-turbo,2026-01-10
5,reasoning,66.42,claude-3-opus,2026-01-10
6,reasoning,38.12,gpt-4,2026-01-10
7,reasoning,65.82,claude-3-opus,2026-01-10
8,reasoning,63.54,gpt-3.5-turbo,2026-01-10
9,reasoning,7.44,claude-3-opus,2026-01-10
10,reasoning,41.17,gpt-4,2026-01-10
11,reasoning,41.98,gpt-4,2026-01-10
12,knowledge,61.22,gpt-3.5-turbo,2026-01-10
13,knowledge,79.85,gpt-3.5-turbo,2026-01-10
14,knowledge,84.29,gpt-4-turbo,2026-01-10
15,knowledge,86.79,gpt-4-turbo,2026-01-10
16,knowledge,17.02,gpt-3.5-turbo,2026-01-10
17,knowledge,80.78,claude-3-opus,2026-01-10
18,knowledge,47.97,gpt-3.5-turbo,2026-01-10
19,knowledge,77.29,gpt-4-turbo,2026-01-10
20,knowledge,67.46,claude-3-opus,2026-01-10
21,knowledge,100.0,gpt-3.5-turbo,2026-01-10
22,knowledge,71.19,gpt-4-turbo,2026-01-10
23,knowledge,65.19,gpt-4,2026-01-10
24,knowledge,33.18,gpt-4,2026-01-10
25,knowledge,33.12,gpt-4-turbo,2026-01-10
26,knowledge,52.23,gpt-3.5-turbo,2026-01-10
27,code,79.05,gpt-3.5-turbo,2026-01-10
28,code,29.39,gpt-4,2026-01-10
29,code,85.12,gpt-3.5-turbo,2026-01-10
30,code,48.6,gpt-4,2026-01-10
31,code,54.91,claude-3-opus,2026-01-10
32,code,48.5,claude-3-opus,2026-01-10
33,code,30.95,claude-3-opus,2026-01-10
34,code,38.18,gpt-3.5-turbo,2026-01-10
35,code,7.95,gpt-3.5-turbo,2026-01-10
36,code,63.75,gpt-4,2026-01-10
37,code,25.7,gpt-3.5-turbo,2026-01-10
38,code,69.76,gpt-4,2026-01-10
39,code,83.47,gpt-4,2026-01-10
40,code,22.42,gpt-4,2026-01-10
41,code,60.81,gpt-4-turbo,2026-01-10
42,instruction_following,81.93,claude-3-opus,2026-01-10
43,instruction_following,82.17,gpt-3.5-turbo,2026-01-10
44,instruction_following,55.71,gpt-3.5-turbo,2026-01-10
45,instruction_following,33.92,claude-3-opus,2026-01-10
46,instruction_following,62.49,claude-3-opus,2026-01-10
47,instruction_following,51.28,gpt-3.5-turbo,2026-01-10
48,instruction_following,49.98,gpt-4-turbo,2026-01-10
49,tool_calling,59.54,gpt-4,2026-01-10
50,tool_calling,55.89,claude-3-opus,2026-01-10
51,tool_calling,66.74,gpt-4-turbo,2026-01-10
52,tool_calling,42.79,gpt-4-turbo,2026-01-10
53,tool_calling,46.87,gpt-4-turbo,2026-01-10
54,tool_calling,11.76,gpt-4,2026-01-10
55,tool_calling,84.53,gpt-4-turbo,2026-01-10
56,tool_calling,94.18,gpt-4,2026-01-10
57,tool_calling,13.59,gpt-4-turbo,2026-01-10
58,tool_calling,36.43,claude-3-opus,2026-01-10
59,tool_calling,62.58,claude-3-opus,2026-01-10
60,tool_calling,61.05,gpt-4,2026-01-10
61,reasoning,42.13,gpt-4-turbo,2026-01-11
62,reasoning,40.8,gpt-4,2026-01-11
63,reasoning,64.57,claude-3-opus,2026-01-11
64,reasoning,73.06,gpt-4,2026-01-11
65,reasoning,56.92,claude-3-opus,2026-01-11
66,reasoning,49.97,claude-3-opus,2026-01-11
67,reasoning,73.05,claude-3-opus,2026-01-11
68,reasoning,42.24,gpt-3.5-turbo,2026-01-11
69,knowledge,65.86,gpt-4-turbo,2026-01-11
70,knowledge,28.56,gpt-3.5-turbo,2026-01-11
71,knowledge,33.74,gpt-4,2026-01-11
72,knowledge,52.55,gpt-4-turbo,2026-01-11
73,knowledge,80.64,claude-3-opus,2026-01-11
74,knowledge,89.66,claude-3-opus,2026-01-11
75,knowledge,82.63,gpt-4-turbo,2026-01-11
76,knowledge,62.04,gpt-4,2026-01-11
77,knowledge,68.55,gpt-4-turbo,2026-01-11
78,knowledge,87.83,gpt-3.5-turbo,2026-01-11
79,knowledge,83.66,claude-3-opus,2026-01-11
80,knowledge,52.9,claude-3-opus,2026-01-11
81,knowledge,34.48,claude-3-opus,2026-01-11
82,code,78.54,gpt-3.5-turbo,2026-01-11
83,code,73.22,gpt-4-turbo,2026-01-11
84,code,48.45,gpt-4-turbo,2026-01-11
85,code,47.11,gpt-4,2026-01-11
86,code,67.02,gpt-4-turbo,2026-01-11
87,code,45.42,gpt-4,2026-01-11
88,code,59.93,gpt-4-turbo,2026-01-11
89,code,36.43,gpt-4-turbo,2026-01-11
90,code,68.57,gpt-4-turbo,2026-01-11
91,instruction_following,42.67,gpt-4-turbo,2026-01-11
92,instruction_following,77.52,gpt-3.5-turbo,2026-01-11
93,instruction_following,84.63,claude-3-opus,2026-01-11
94,instruction_following,91.74,gpt-4-turbo,2026-01-11
95,instruction_following,97.87,gpt-4,2026-01-11
96,instruction_following,31.53,gpt-4,2026-01-11
97,tool_calling,38.27,gpt-3.5-turbo,2026-01-11
98,tool_calling,61.86,gpt-4-turbo,2026-01-11
99,tool_calling,35.09,gpt-3.5-turbo,2026-01-11
100,tool_calling,44.07,gpt-4,2026-01-11
101,tool_calling,84.19,claude-3-opus,2026-01-11
102,tool_calling,43.5,gpt-3.5-turbo,2026-01-11
103,tool_calling,59.62,claude-3-opus,2026-01-11
104,tool_calling,26.59,claude-3-opus,2026-01-11
105,tool_calling,33.52,gpt-4,2026-01-11
106,tool_calling,59.21,gpt-3.5-turbo,2026-01-11
107,tool_calling,17.58,gpt-3.5-turbo,2026-01-11
108,tool_calling,32.45,gpt-3.5-turbo,2026-01-11
109,tool_calling,56.86,gpt-4-turbo,2026-01-11
110,tool_calling,84.55,gpt-3.5-turbo,2026-01-11
